声明|此应用由是白白吖独立制作
老式铝制风镜|GiveItem 301140010 1 0 0
防撞击眼镜|GiveItem 301140011 1 0 0
赛马师风镜|GiveItem 301140012 1 0 0
沙漠战术风镜|GiveItem 301140013 1 0 0
老式连框风镜|GiveItem 301140014 1 0 0
老式飞行员风镜|GiveItem 301140017 1 0 0
绿色飞行员风镜|GiveItem 301140020 1 0 0
老式圆形防风镜|GiveItem 301140022 1 0 0
全黑羊毛花呢头套|GiveItem 301150102 1 0 0
墨绿色滑雪头套|GiveItem 301150103 1 0 0
黑色滑雪头套|GiveItem 301150104 1 0 0
简易羊毛头套|GiveItem 301150105 1 0 0
户外弹性脖套|GiveItem 301150106 1 0 0
骑行透气脖套|GiveItem 301150107 1 0 0
印花红色头巾|GiveItem 301150108 1 0 0
墨绿棉质头套|GiveItem 301150110 1 0 0
橄榄绿作战头套|GiveItem 301150112 1 0 0
头带式热成像仪|GiveItem 301150301 1 0 0
AVS-T弹挂腿甲|GiveItem 301160001 1 0 0
PM-V型弹挂腿甲|GiveItem 301160002 1 0 0
SA101防弹腿甲|GiveItem 301160003 1 0 0
BN30防弹腿甲|GiveItem 301160004 1 0 0
6BL3防弹腿甲|GiveItem 301160005 1 0 0
BT201防弹腿甲|GiveItem 301160006 1 0 0
AP镇痛片|GiveItem 401010003 1 0 0
红花油|GiveItem 401010004 1 0 0
强效镇痛剂|GiveItem 401010006 1 0 0
浓缩镇痛剂|GiveItem 401010007 1 0 0
提神口服液|GiveItem 401010008 1 0 0
军用凝伤胶|GiveItem 401030105 1 0 0
G-96吸入器|GiveItem 401030301 1 0 0
实验型气雾吸入器|GiveItem 401030302 1 0 0
再生强度剂|GiveItem 401050001 1 0 0
耐力强度剂|GiveItem 401050004 1 0 0
感知强化剂|GiveItem 401050015 1 0 0
风险强化剂“灾厄”|GiveItem 401050017 1 0 0
战斗强化剂|GiveItem 401050018 1 0 0
实验型耐力战斗强化剂|GiveItem 401050020 1 0 0
实验型损伤控制强化剂|GiveItem 401050022 1 0 0
实验型听力战斗强化剂|GiveItem 401050023 1 0 0
实验型“损伤克星”强化剂|GiveItem 401050024 1 0 0
荒坂实验型生物针剂|GiveItem 401050025 1 0 0
特供听力战斗强化剂|GiveItem 401050026 1 0 0
特供耐力战斗强化剂|GiveItem 401050027 1 0 0
特供损伤战斗强化剂|GiveItem 401050029 1 0 0
实验型战斗兴奋剂|GiveItem 401050030 1 0 0
实验型变化针剂|GiveItem 401050031 1 0 0
小队用战术针剂盒|GiveItem 401050032 1 0 0
针剂盒中的针剂|GiveItem 401050033 1 0 0
再生强度剂|GiveItem 401050034 1 0 0
行动物资券|GiveItem 403040001 1 0 0
S3特维拉币|GiveItem 403050001 1 0 0
S3科伦币|GiveItem 403050002 1 0 0
特维拉币|GiveItem 403050003 1 0 0
科伦币|GiveItem 403050004 1 0 0
赛季币|GiveItem 403050005 1 0 0
高山清泉|GiveItem 404010001 1 0 0
C++菠萝汁|GiveItem 404010005 1 0 0
牛磺酸补充剂|GiveItem 404010006 1 0 0
太平洋碳酸汽水|GiveItem 404010007 1 0 0
维利原厂保温壶|GiveItem 404010008 1 0 0
山谷特调|GiveItem 404010013 1 0 0
冰爽汽水|GiveItem 404010014 1 0 0
好喝到爆|GiveItem 404010019 1 0 0
鸿运在手|GiveItem 404010020 1 0 0
野外特供红烧排骨|GiveItem 404020001 1 0 0
压缩锅巴|GiveItem 404020003 1 0 0
红阳砂糖|GiveItem 404020010 1 0 0
红阳蕃茄汁焗豆|GiveItem 404020014 1 0 0
玉米片|GiveItem 404020015 1 0 0
达荣原厂甜面酱|GiveItem 404020016 1 0 0
野外特供干粮|GiveItem 404020018 1 0 0
夜莺牌蜂蜜|GiveItem 404020019 1 0 0
姜饼|GiveItem 404020020 1 0 0
美味杂烩锅|GiveItem 404020026 1 0 0
美味杂烩锅（子物品）|GiveItem 404020027 1 0 0
精制甜面酱|GiveItem 404020029 1 0 0
月饼|GiveItem 404020030 1 0 0
神秘月饼（子物品1）|GiveItem 404020031 1 0 0
神秘月饼（子物品2）|GiveItem 404020032 1 0 0
芝香披萨|GiveItem 404020033 1 0 0
芝香披萨（使用）|GiveItem 404020034 1 0 0
特浓炼乳|GiveItem 404020037 1 0 0
怪味奶糖|GiveItem 404020038 1 0 0
神秘月饼（使用）|GiveItem 404020040 1 0 0
神秘披萨|GiveItem 404020041 1 0 0
神秘披萨（使用）|GiveItem 404020042 1 0 0
饱餐披萨|GiveItem 404020043 1 0 0
饱餐披萨（使用）|GiveItem 404020044 1 0 0
饱食酱|GiveItem 404020047 1 0 0
高能酱|GiveItem 404020048 1 0 0
原味芝士片|GiveItem 404020049 1 0 0
番茄沙司|GiveItem 404020050 1 0 0
新春水饺|GiveItem 404020051 1 0 0
新春水饺（使用）|GiveItem 404020052 1 0 0
达荣辣条|GiveItem 404020053 1 0 0
幸运丸子|GiveItem 404020054 1 0 0
月饼礼盒|GiveItem 404020056 1 0 0
神秘月饼（子物品1）|GiveItem 404020057 1 0 0
神秘月饼（子物品2）|GiveItem 404020058 1 0 0
神秘月饼（使用）|GiveItem 404020059 1 0 0
八宝粥|GiveItem 404020060 1 0 0
虹彩爆裂多味糖|GiveItem 404020064 1 0 0
虹彩爆裂多味糖|GiveItem 404020065 1 0 0
虹彩爆裂多味糖|GiveItem 404020066 1 0 0
虹彩爆裂多味糖|GiveItem 404020067 1 0 0
虹彩爆裂多味糖|GiveItem 404020068 1 0 0
虹彩爆裂多味糖|GiveItem 404020069 1 0 0
虹彩爆裂多味糖|GiveItem 404020070 1 0 0
庆典草莓蛋糕|GiveItem 404020073 1 0 0
庆典草莓蛋糕|GiveItem 404020074 1 0 0
庆典草莓蛋糕|GiveItem 404020075 1 0 0
实验型单兵作战口粮“曼福”|GiveItem 404020076 1 0 0
美味红汤锅|GiveItem 404020078 1 0 0
美味红汤锅（子物品）|GiveItem 404020079 1 0 0
军粮箱（子物品1）|GiveItem 404020081 1 0 0
军粮箱（子物品2）|GiveItem 404020082 1 0 0
军粮箱（使用）|GiveItem 404020083 1 0 0
乌江“老贝榨”榨菜|GiveItem 404020084 1 0 0
农场藏品定位器|GiveItem 405019902 1 0 0
G3入口电子访问卡|GiveItem 405040020 1 0 0
检查区入口电子访问卡|GiveItem 405040021 1 0 0
登记室入口电子访问卡|GiveItem 405040022 1 0 0
前线要塞藏品定位器|GiveItem 405049902 1 0 0
矿区藏品定位器|GiveItem 405089902 1 0 0
综合体高级权限卡|GiveItem 405090001 1 0 0
感应卡|GiveItem 405090002 1 0 0
红蓝宝箱定位器|GiveItem 405909901 1 0 0
猎人宝箱密匙|GiveItem 405980002 1 0 0
地图|GiveItem 406010001 1 0 0
标准枪械存储箱|GiveItem 407010001 1 0 0
大型枪械存储箱|GiveItem 407010002 1 0 0
小型枪械存储箱|GiveItem 407010003 1 0 0
标准杂物箱|GiveItem 407040001 1 0 0
大型杂物箱|GiveItem 407040002 1 0 0
小型杂物箱|GiveItem 407040003 1 0 0
超大杂物箱|GiveItem 407040004 1 0 0
大型扩展箱|GiveItem 407080001 1 0 0
中型扩展箱|GiveItem 407080002 1 0 0
手雷箱|GiveItem 407090001 1 0 0
小型防具箱|GiveItem 407100001 1 0 0
中型防具箱|GiveItem 407100002 1 0 0
大型防具箱|GiveItem 407100003 1 0 0
火柴|GiveItem 408010001 1 0 0
打火机|GiveItem 408010002 1 0 0
机油|GiveItem 408010005 1 0 0
油桶|GiveItem 408010006 1 0 0
除锈剂（需下架）|GiveItem 408010007 1 0 0
丙烷罐|GiveItem 408010008 1 0 0
燃料桶|GiveItem 408010009 1 0 0
煤油灯|GiveItem 408010012 1 0 0
蜡烛|GiveItem 408010013 1 0 0
高能燃料|GiveItem 408010014 1 0 0
一包硝化棉|GiveItem 408010015 1 0 0
螺母|GiveItem 408020001 1 0 0
螺钉|GiveItem 408020002 1 0 0
波纹管|GiveItem 408020004 1 0 0
一盒钉子|GiveItem 408020006 1 0 0
有机玻璃|GiveItem 408020007 1 0 0
软管|GiveItem 408020008 1 0 0
泡沫胶|GiveItem 408020009 1 0 0
密封泡沫|GiveItem 408020010 1 0 0
硅胶管|GiveItem 408020011 1 0 0
电线|GiveItem 408020012 1 0 0
T型插头|GiveItem 408020013 1 0 0
耐冲击硬胶|GiveItem 408020015 1 0 0
防弹胶|GiveItem 408020016 1 0 0
黄铜管|GiveItem 408020018 1 0 0
橡胶垫|GiveItem 408020021 1 0 0
吸音板材|GiveItem 408020022 1 0 0
橡木片|GiveItem 408020024 1 0 0
隔音棉|GiveItem 408020025 1 0 0
碳纤维板样品|GiveItem 408020027 1 0 0
数据硬盘|GiveItem 408030001 1 0 0
CPU|GiveItem 408030002 1 0 0
电源线|GiveItem 408030003 1 0 0
显卡|GiveItem 408030004 1 0 0
GPU|GiveItem 408030005 1 0 0
CPU风扇|GiveItem 408030006 1 0 0
破损的屏幕|GiveItem 408030007 1 0 0
完好的屏幕|GiveItem 408030008 1 0 0
PSU电源|GiveItem 408030009 1 0 0
USB适配器|GiveItem 408030010 1 0 0
手写板|GiveItem 408030011 1 0 0
机械硬盘|GiveItem 408030012 1 0 0
固态硬盘|GiveItem 408030013 1 0 0
电容|GiveItem 408030015 1 0 0
内存条|GiveItem 408030016 1 0 0
电路板|GiveItem 408030017 1 0 0
U盘|GiveItem 408030018 1 0 0
专用电路板|GiveItem 408030019 1 0 0
软盘|GiveItem 408030020 1 0 0
老式散热器|GiveItem 408030022 1 0 0
软盘驱动器|GiveItem 408030023 1 0 0
vga连接线|GiveItem 408030024 1 0 0
UPS电源|GiveItem 408030025 1 0 0
一只监听音响|GiveItem 408030026 1 0 0
尘封的电脑主板|GiveItem 408030027 1 0 0
向量处理器|GiveItem 408030028 1 0 0
太阳能板|GiveItem 408040006 1 0 0
移动电源|GiveItem 408040007 1 0 0
电磁弹射组件|GiveItem 408040009 1 0 0
太阳能小型充电宝|GiveItem 408040011 1 0 0
电钻|GiveItem 408050001 1 0 0
卷尺|GiveItem 408050002 1 0 0
螺丝刀|GiveItem 408050003 1 0 0
扳手|GiveItem 408050004 1 0 0
老虎钳|GiveItem 408050005 1 0 0
大力剪|GiveItem 408050007 1 0 0
花剪|GiveItem 408050008 1 0 0
锥子|GiveItem 408050010 1 0 0
管钳|GiveItem 408050011 1 0 0
磁铁|GiveItem 408050015 1 0 0
鼓风机|GiveItem 408050019 1 0 0
火花塞|GiveItem 408050020 1 0 0
杆秤|GiveItem 408050021 1 0 0
手电筒|GiveItem 408050022 1 0 0
高能手电筒|GiveItem 408050023 1 0 0
液压扳手|GiveItem 408050026 1 0 0
缓降器|GiveItem 408050027 1 0 0
安全锤|GiveItem 408050028 1 0 0
便携式千斤顶|GiveItem 408050029 1 0 0
机油壶|GiveItem 408050031 1 0 0
打胶枪|GiveItem 408050032 1 0 0
液压扩张器|GiveItem 408050033 1 0 0
开瓶器|GiveItem 408050034 1 0 0
开罐器|GiveItem 408050035 1 0 0
便携链锯|GiveItem 408050036 1 0 0
小型多轴机械臂|GiveItem 408050037 1 0 0
螺丝刀套组|GiveItem 408050038 1 0 0
小型火焰喷灯|GiveItem 408050039 1 0 0
牙膏|GiveItem 408060001 1 0 0
杀虫剂|GiveItem 408060002 1 0 0
表面清洁剂|GiveItem 408060003 1 0 0
漂白剂|GiveItem 408060004 1 0 0
管道疏通剂|GiveItem 408060005 1 0 0
肥皂|GiveItem 408060006 1 0 0
卫生纸|GiveItem 408060007 1 0 0
车用尿素|GiveItem 408060008 1 0 0
胶水|GiveItem 408060011 1 0 0
洗发液|GiveItem 408060012 1 0 0
水壶|GiveItem 408060013 1 0 0
节能灯|GiveItem 408060016 1 0 0
紫外线灯|GiveItem 408060017 1 0 0
灯泡|GiveItem 408060018 1 0 0
扑克牌|GiveItem 408060019 1 0 0
玻璃弹子|GiveItem 408060020 1 0 0
相框|GiveItem 408060021 1 0 0
铁铅笔盒|GiveItem 408060023 1 0 0
发条小汽车|GiveItem 408060024 1 0 0
搪瓷杯|GiveItem 408060025 1 0 0
化纤|GiveItem 408060026 1 0 0
呢绒布|GiveItem 408060027 1 0 0
麻布|GiveItem 408060028 1 0 0
面巾纸|GiveItem 408060029 1 0 0
游戏卡带|GiveItem 408060030 1 0 0
卷笔刀|GiveItem 408060031 1 0 0
针线包|GiveItem 408060032 1 0 0
棉布|GiveItem 408060033 1 0 0
香水|GiveItem 408060035 1 0 0
剃须刀|GiveItem 408060036 1 0 0
助听器|GiveItem 408060037 1 0 0
除锈剂|GiveItem 408060038 1 0 0
腕表|GiveItem 408060039 1 0 0
马用铁梳|GiveItem 408060040 1 0 0
小袋肥料|GiveItem 408060041 1 0 0
遮雨篷布|GiveItem 408060042 1 0 0
电影胶片|GiveItem 408060043 1 0 0
手持补光灯|GiveItem 408060044 1 0 0
便携酒精炉|GiveItem 408060046 1 0 0
露营灯|GiveItem 408060047 1 0 0
卡莫纳鸮毛绒玩具|GiveItem 408060048 1 0 0
多斯玫瑰花箱|GiveItem 408060049 1 0 0
玻璃杯|GiveItem 408060050 1 0 0
铁勺|GiveItem 408060051 1 0 0
家用吸尘器主机|GiveItem 408060053 1 0 0
薇雷拉琴|GiveItem 408060054 1 0 0
奢侈品羽饰提包|GiveItem 408060055 1 0 0
维塞尔日记|GiveItem 408060056 1 0 0
针管|GiveItem 408070002 1 0 0
体温枪|GiveItem 408070003 1 0 0
生理盐水|GiveItem 408070004 1 0 0
双氧水|GiveItem 408070005 1 0 0
医用杂物盒|GiveItem 408070006 1 0 0
医用海绵|GiveItem 408070008 1 0 0
医用剪刀|GiveItem 408070009 1 0 0
生物样本|GiveItem 408070010 1 0 0
自动体外去颤器|GiveItem 408070012 1 0 0
胰岛素泵|GiveItem 408070013 1 0 0
简易测温计|GiveItem 408070014 1 0 0
医用棉球|GiveItem 408070015 1 0 0
人工心脏|GiveItem 408070016 1 0 0
生化样本采集箱|GiveItem 408070017 1 0 0
浑浊混合样本|GiveItem 408070019 1 0 0
活性培养株样本|GiveItem 408070020 1 0 0
ELS特异株纯化样本|GiveItem 408070021 1 0 0
纪念硬币|GiveItem 408080002 1 0 0
花瓶|GiveItem 408080003 1 0 0
座钟|GiveItem 408080009 1 0 0
集邮册|GiveItem 408080016 1 0 0
唱片机|GiveItem 408080019 1 0 0
怀表|GiveItem 408080020 1 0 0
邮票|GiveItem 408080021 1 0 0
马刺|GiveItem 408080022 1 0 0
钻戒|GiveItem 408080025 1 0 0
胸针|GiveItem 408080026 1 0 0
海岛地图|GiveItem 408080032 1 0 0
老牌打字机|GiveItem 408080033 1 0 0
装饰手杖|GiveItem 408080034 1 0 0
仿制石膏雕塑|GiveItem 408080038 1 0 0
盛宴雕塑|GiveItem 408080039 1 0 0
“理想国”试剂盒|GiveItem 408080040 1 0 0
工艺品猎刀|GiveItem 408080042 1 0 0
发动机模型纪念品|GiveItem 408080043 1 0 0
“国王号”模型|GiveItem 408080044 1 0 0
机械模型-义手|GiveItem 408080045 1 0 0
车辆模型-石中剑|GiveItem 408080046 1 0 0
天钩同步阵列镜片|GiveItem 408080047 1 0 0
谢尔盖一号卫星模型|GiveItem 408080048 1 0 0
玉质手串|GiveItem 408080050 1 0 0
国际象棋-城堡|GiveItem 408080055 1 0 0
光明使者碎片|GiveItem 408080056 1 0 0
皇家鹅毛笔|GiveItem 408080061 1 0 0
水晶装饰盒|GiveItem 408080062 1 0 0
科伦荣誉勋章|GiveItem 408080063 1 0 0
民族挂毯|GiveItem 408080064 1 0 0
特维拉珐琅碗|GiveItem 408080065 1 0 0
“赤红暗星”轰炸机模型|GiveItem 408080068 1 0 0
老牌八音盒|GiveItem 408080069 1 0 0
古典放大镜|GiveItem 408080070 1 0 0
辉光管时钟|GiveItem 408080072 1 0 0
手工树皮纸|GiveItem 408080073 1 0 0
奢华CD播放器|GiveItem 408080074 1 0 0
静物油画|GiveItem 408080076 1 0 0
法厄同之钟|GiveItem 408080081 1 0 0
《黎明》|GiveItem 408080082 1 0 0
T-008 终极机械手臂|GiveItem 408080083 1 0 0
E1|GiveItem 408080085 1 0 0
驮宝瑞象|GiveItem 408080086 1 0 0
“ELS”变异株还原样本|GiveItem 408080088 1 0 0
被使用的“理想国”试剂盒|GiveItem 408080091 1 0 0
可露凯立牌|GiveItem 408080092 1 0 0
埃芙立牌|GiveItem 408080093 1 0 0
硬皮本|GiveItem 408090002 1 0 0
笔记本|GiveItem 408090003 1 0 0
维修手册|GiveItem 408090004 1 0 0
台历|GiveItem 408090005 1 0 0
连环画|GiveItem 408090006 1 0 0
运货单|GiveItem 408090009 1 0 0
工作日志|GiveItem 408090010 1 0 0
一叠寻人启事|GiveItem 408090011 1 0 0
北山酒店明信片|GiveItem 408090012 1 0 0
欧特斯缆车车票|GiveItem 408090013 1 0 0
被撕开的抽纸盒|GiveItem 408090014 1 0 0
一叠便签|GiveItem 408090015 1 0 0
破旧书籍|GiveItem 408090016 1 0 0
冈格尼尔蓝图残页|GiveItem 408090019 1 0 0
幸运纸条A|GiveItem 408090021 1 0 0
幸运纸条B|GiveItem 408090022 1 0 0
幸运纸条C|GiveItem 408090023 1 0 0
幸运纸条D|GiveItem 408090024 1 0 0
幸运纸条E|GiveItem 408090025 1 0 0
幸运纸条F|GiveItem 408090026 1 0 0
气体分析仪|GiveItem 408100001 1 0 0
气密性检测仪|GiveItem 408100002 1 0 0
压力表|GiveItem 408100003 1 0 0
万能表|GiveItem 408100004 1 0 0
滤波器|GiveItem 408100005 1 0 0
示波器|GiveItem 408100007 1 0 0
整流器|GiveItem 408100010 1 0 0
天线|GiveItem 408100011 1 0 0
平衡仪|GiveItem 408100012 1 0 0
测光表|GiveItem 408100013 1 0 0
工业级万用表|GiveItem 408100014 1 0 0
航天导航仪|GiveItem 408100015 1 0 0
普通身份牌|GiveItem 408110001 1 0 0
新锐身份牌|GiveItem 408110003 1 0 0
尖兵身份牌|GiveItem 408110004 1 0 0
精英身份牌|GiveItem 408110005 1 0 0
专家身份牌|GiveItem 408110006 1 0 0
大师身份牌|GiveItem 408110007 1 0 0
王牌身份牌|GiveItem 408110008 1 0 0
传说身份牌|GiveItem 408110009 1 0 0
军港身份牌|GiveItem 408110010 1 0 0
白狼身份牌|GiveItem 408110012 1 0 0
边缘行者临时身份牌|GiveItem 408110013 1 0 0
边缘行者临时身份牌|GiveItem 408110014 1 0 0
边缘行者临时身份牌|GiveItem 408110015 1 0 0
猎人游戏身份牌|GiveItem 408110016 1 0 0
普通招财猫牌|GiveItem 408110017 1 0 0
新锐招财猫牌|GiveItem 408110018 1 0 0
尖兵招财猫牌|GiveItem 408110019 1 0 0
精英招财猫牌|GiveItem 408110020 1 0 0
专家招财猫牌|GiveItem 408110021 1 0 0
大师招财猫牌|GiveItem 408110022 1 0 0
王牌招财猫牌|GiveItem 408110023 1 0 0
传说招财猫牌|GiveItem 408110024 1 0 0
炮弹|GiveItem 408120002 1 0 0
伞绳|GiveItem 408120003 1 0 0
安全绳|GiveItem 408120004 1 0 0
军用水壶|GiveItem 408120005 1 0 0
过滤罐|GiveItem 408120006 1 0 0
军用罗盘|GiveItem 408120007 1 0 0
测距望远镜|GiveItem 408120008 1 0 0
无线对讲机|GiveItem 408120009 1 0 0
军用电台|GiveItem 408120010 1 0 0
信号接收器|GiveItem 408120011 1 0 0
信号干扰器|GiveItem 408120012 1 0 0
热成像模块|GiveItem 408120013 1 0 0
电台|GiveItem 408120014 1 0 0
水平仪|GiveItem 408120017 1 0 0
水手哨|GiveItem 408120018 1 0 0
目标定位器模块|GiveItem 408120019 1 0 0
炮队镜|GiveItem 408120021 1 0 0
热诱弹发射装置|GiveItem 408120024 1 0 0
侦察无人机残骸|GiveItem 408120025 1 0 0
投弹无人机残骸|GiveItem 408120026 1 0 0
非线性节点探测器|GiveItem 408120028 1 0 0
T-147单兵通讯装置|GiveItem 408120029 1 0 0
战术侦察车残骸|GiveItem 408120030 1 0 0
自爆小车残骸|GiveItem 408120031 1 0 0
便携式摄像头残骸|GiveItem 408120032 1 0 0
“蛇眼”残骸|GiveItem 408120033 1 0 0
历战的徽章|GiveItem 408130001 1 0 0
养护如新的军刀|GiveItem 408130002 1 0 0
弗雷德的婚戒|GiveItem 408130003 1 0 0
作战指南针|GiveItem 408130005 1 0 0
指虎|GiveItem 408130006 1 0 0
空降兵徽章|GiveItem 408130007 1 0 0
被剪断的飘带|GiveItem 408130008 1 0 0
木制陀螺|GiveItem 408130011 1 0 0
崭新的登山扣|GiveItem 408130012 1 0 0
手绘地图|GiveItem 408130013 1 0 0
一张合影|GiveItem 408130014 1 0 0
保卫行动纪念章|GiveItem 408130015 1 0 0
弗雷德的婚戒|GiveItem 408130016 1 0 0
手绘地图|GiveItem 408130017 1 0 0
历战觅心的军刀|GiveItem 408130020 1 0 0
游戏机|GiveItem 408140001 1 0 0
DVD|GiveItem 408140005 1 0 0
摄像头|GiveItem 408140007 1 0 0
保险丝|GiveItem 408140008 1 0 0
刷卡器|GiveItem 408140009 1 0 0
BP机|GiveItem 408140011 1 0 0
老式收音机|GiveItem 408140014 1 0 0
镜头|GiveItem 408140015 1 0 0
照相机|GiveItem 408140016 1 0 0
磁带随身听|GiveItem 408140017 1 0 0
损毁的手机|GiveItem 408140018 1 0 0
手机|GiveItem 408140020 1 0 0
数据链接线|GiveItem 408140021 1 0 0
摄影机|GiveItem 408140022 1 0 0
快门线|GiveItem 408140023 1 0 0
笔记本电脑|GiveItem 408140024 1 0 0
特维拉制式RWR面板|GiveItem 408140025 1 0 0
原型计算机验算模块|GiveItem 408140026 1 0 0
军用平板电脑|GiveItem 408140027 1 0 0
手持扫描仪|GiveItem 408140028 1 0 0
前线要塞凭证|GiveItem 408150001 1 0 0
保卫队队长证|GiveItem 408150005 1 0 0
电视台凭证|GiveItem 408150006 1 0 0
前往山谷的船票|GiveItem 408150007 1 0 0
电视台临时凭证|GiveItem 408150009 1 0 0
电视台临时凭证|GiveItem 408150011 1 0 0
前线要塞临时凭证|GiveItem 408150012 1 0 0
前往山谷的特殊船票|GiveItem 408150014 1 0 0
安全区通行凭证|GiveItem 408150022 1 0 0
林地危机体验券|GiveItem 408150024 1 0 0
伪装行者入场券|GiveItem 408150025 1 0 0
封锁行者入场券|GiveItem 408150026 1 0 0
强封行者入场券|GiveItem 408150027 1 0 0
派遣合约|GiveItem 408150029 1 0 0
伪装潜入入场券|GiveItem 408150031 1 0 0
封锁伪装入场券|GiveItem 408150032 1 0 0
强封伪装入场券|GiveItem 408150033 1 0 0
夜城清道夫入场券|GiveItem 408150034 1 0 0
封锁区夜城清道夫入场券|GiveItem 408150035 1 0 0
强化封锁区夜城清道夫入场券|GiveItem 408150036 1 0 0
创伤小组入场券|GiveItem 408150037 1 0 0
封锁区创伤小组入场券|GiveItem 408150038 1 0 0
强化封锁区创伤小组入场券|GiveItem 408150039 1 0 0
黑卡蒂扮演券-封锁区|GiveItem 408150040 1 0 0
黑卡蒂扮演券-强化封锁区|GiveItem 408150041 1 0 0
阿贾克斯扮演券-封锁区|GiveItem 408150043 1 0 0
阿贾克斯扮演券-强化封锁区|GiveItem 408150044 1 0 0
生化无尽模式入场券|GiveItem 408150051 1 0 0
未处理的鸡|GiveItem 408160001 1 0 0
坠落的灰鸽|GiveItem 408160002 1 0 0
坠落的白鸽|GiveItem 408160003 1 0 0
坠落的花鸽|GiveItem 408160004 1 0 0
坠落的乌鸦（暂用名）|GiveItem 408160006 1 0 0
农场普通藏宝图|GiveItem 408170001 1 0 0
农场关键藏宝图|GiveItem 408170002 1 0 0
农场极密藏宝图|GiveItem 408170003 1 0 0
山谷普通藏宝图|GiveItem 408170004 1 0 0
山谷关键藏宝图|GiveItem 408170005 1 0 0
山谷极密藏宝图|GiveItem 408170006 1 0 0
要塞普通藏宝图|GiveItem 408170007 1 0 0
要塞关键藏宝图|GiveItem 408170008 1 0 0
要塞极密藏宝图|GiveItem 408170009 1 0 0
北山普通藏宝图|GiveItem 408170010 1 0 0
北山关键藏宝图|GiveItem 408170011 1 0 0
北山极密藏宝图|GiveItem 408170012 1 0 0
电视台普通藏宝图|GiveItem 408170013 1 0 0
电视台关键藏宝图|GiveItem 408170014 1 0 0
电视台极密藏宝图|GiveItem 408170015 1 0 0
湛蓝寰宇月刊|GiveItem 408200001 1 0 0
游荡者的野外生存笔记|GiveItem 408200002 1 0 0
北山旅游杂志|GiveItem 408200003 1 0 0
简易自救教程|GiveItem 408200004 1 0 0
“科伦之龙”力训计划|GiveItem 408200006 1 0 0
湛蓝寰宇月刊(三)|GiveItem 408200007 1 0 0
流浪者的野外生存笔记（二）|GiveItem 408200008 1 0 0
本地士兵未寄出的家书|GiveItem 408200009 1 0 0
瑞文的传说|GiveItem 408200011 1 0 0
渔具老板的账本|GiveItem 408200012 1 0 0
欧特斯的深渊|GiveItem 408200013 1 0 0
《科伦人》杂志（二）|GiveItem 408200014 1 0 0
流浪者的野外生存笔记（三）|GiveItem 408200015 1 0 0
